imagename,label
000000033221.jpg,1
000000167572.jpg,0
000000232489.jpg,0
000000417608.jpg,0
000000179487.jpg,1
000000088970.jpg,1
000000474167.jpg,0
000000517056.jpg,1
000000051976.jpg,0
000000370677.jpg,1
000000037689.jpg,1
000000180101.jpg,1
000000429623.jpg,1
000000177539.jpg,1
000000449312.jpg,1
000000150417.jpg,1
000000463842.jpg,0
000000475064.jpg,1
000000526197.jpg,0
000000023359.jpg,0
000000120853.jpg,0
000000256518.jpg,0
000000350679.jpg,1
000000563281.jpg,0
000000300276.jpg,1
000000019402.jpg,1
000000466567.jpg,0
000000482319.jpg,1
000000163611.jpg,1
000000231125.jpg,1
000000010092.jpg,1
000000536038.jpg,1
000000416534.jpg,0
000000183391.jpg,1
000000283113.jpg,0
000000322352.jpg,1
000000188296.jpg,1
000000336356.jpg,0
000000361238.jpg,0
000000224222.jpg,1
000000009400.jpg,0
000000512657.jpg,1
000000362716.jpg,1
000000468332.jpg,1
000000426376.jpg,1
000000099428.jpg,1
000000532481.jpg,0
000000085195.jpg,1
000000025603.jpg,1
000000345252.jpg,1
000000393056.jpg,1
000000551780.jpg,1
000000127517.jpg,0
000000066523.jpg,0
000000359219.jpg,0
000000322574.jpg,0
000000332351.jpg,1
000000579635.jpg,1
000000050943.jpg,1
000000210915.jpg,1
000000104424.jpg,1
000000223182.jpg,1
000000441286.jpg,1
000000193674.jpg,1
000000274460.jpg,1
000000156643.jpg,1
000000210230.jpg,1
000000547854.jpg,1
000000237071.jpg,1
000000062692.jpg,1
000000167159.jpg,1
000000099182.jpg,1
000000422886.jpg,1
000000389197.jpg,1
000000246883.jpg,1
000000096493.jpg,0
000000563758.jpg,0
000000296222.jpg,1
000000554266.jpg,1
000000189775.jpg,1
000000420069.jpg,1
000000083531.jpg,0
000000075612.jpg,1
000000345941.jpg,0
000000248400.jpg,1
000000111609.jpg,1
000000465430.jpg,0
000000323355.jpg,1
000000491130.jpg,1
000000425906.jpg,1
000000138241.jpg,0
000000376900.jpg,1
000000010995.jpg,1
000000197022.jpg,1
000000360393.jpg,0
000000019432.jpg,1
000000320642.jpg,1
000000127476.jpg,0
000000250901.jpg,1
000000376206.jpg,1
